Partner,Pair,lrv,metric,alpha,propr
ASV98,ASV72,28.58229773,rho,NA,-0.655729565
ASV40,ISO1,4.324037547,rho,NA,-0.6530025
ASV70,ASV13,2.147588913,rho,NA,-0.652585458
ASV62,ISO1,4.029720943,rho,NA,-0.651235895
ASV100,ASV23,13.9815953,rho,NA,-0.648274809
ASV23,ASV22,28.88042925,rho,NA,-0.646658639
ASV71,ASV39,15.6206086,rho,NA,-0.646196528
ASV99,ASV72,16.27833992,rho,NA,-0.645966863
ASV51,ASV15,23.06709377,rho,NA,-0.643370354
ASV85,ASV5,4.001500466,rho,NA,-0.64308125
ASV139,GAS6,28.26611713,rho,NA,-0.642973066
ASV84,ASV77,9.642598284,rho,NA,-0.642825226
ASV110,ASV32,42.47006638,rho,NA,-0.642084309
ASV50,ASV5,3.19595964,rho,NA,-0.641369395
ASV100,ASV82,30.25968321,rho,NA,-0.640660902
ASV100,ASV90,29.89758938,rho,NA,-0.640350618
ASV35,ASV18,7.907375711,rho,NA,-0.639971591
ASV77,ASV15,23.07001683,rho,NA,-0.639869776
ASV134,ASV89,39.41063968,rho,NA,-0.639085304
ASV90,ASV22,44.71037415,rho,NA,-0.638788029
ASV171,ASV83,31.97420632,rho,NA,-0.638212368
ASV113,ISO1,4.435168683,rho,NA,-0.638058832
ASV36,ASV14,31.51849845,rho,NA,-0.638033988
ASV201,ASV72,27.93064676,rho,NA,-0.635686801
ASV94,ASV90,36.27501815,rho,NA,-0.634644556
ASV100,ASV39,14.64706676,rho,NA,-0.634629537
ASV70,ASV19,2.153115907,rho,NA,-0.633627469
ASV60,ISO1,4.206485465,rho,NA,-0.633233847
ASV71,ASV14,34.95715815,rho,NA,-0.629689453
ASV184,ASV6,19.9298537,rho,NA,-0.62900592
ASV63,POL9,2.096344063,rho,NA,-0.628653917
ASV84,NEC4,5.520099035,rho,NA,-0.628351887
ASV171,ASV47,37.2063267,rho,NA,-0.628328515
ASV167,ASV89,39.63675877,rho,NA,-0.627680668
ASV78,ASV15,33.85281762,rho,NA,-0.626315188
ASV85,ASV25,16.36366933,rho,NA,-0.625238914
ASV90,ASV48,32.03806331,rho,NA,-0.624994965
ASV115,ASV72,29.66176464,rho,NA,-0.624791034
ASV84,ASV51,9.484651208,rho,NA,-0.624702833
ASV78,ASV68,36.88743317,rho,NA,-0.624380265
ASV99,ASV94,19.09600972,rho,NA,-0.624330286
ASV90,ASV67,37.5088292,rho,NA,-0.623315022
ASV67,GAS6,31.1442852,rho,NA,-0.621047529
ASV51,ASV23,11.24067376,rho,NA,-0.620862563
ASV263,ASV89,35.246646,rho,NA,-0.620415208
ASV46,ASV9,2.285355345,rho,NA,-0.619764634
ASV90,ASV76,37.53094234,rho,NA,-0.618491991
ASV43,ASV18,14.1979736,rho,NA,-0.617378484
ASV82,ASV33,42.03521615,rho,NA,-0.615597098
ASV90,ASV32,40.42180886,rho,NA,-0.615569043
ASV61,ISO1,4.455976738,rho,NA,-0.615565839
ASV157,ASV64,23.16905414,rho,NA,-0.614360832
ASV93,ASV71,27.30708621,rho,NA,-0.614108347
ASV41,POL6,3.162716171,rho,NA,-0.613053879
ASV65,ASV56,3.03588235,rho,NA,-0.611282459
ASV99,ASV76,20.54863108,rho,NA,-0.611191032
ASV94,ASV74,23.75791369,rho,NA,-0.609393342
ASV72,ASV68,31.49514204,rho,NA,-0.608895927
ASV101,ASV23,21.65115567,rho,NA,-0.606738077
ASV25,ASV23,18.1713552,rho,NA,-0.606501724
ASV113,POL9,2.722008541,rho,NA,-0.606496352
ASV7,GAS6,21.87416498,rho,NA,-0.606341879
ASV201,ASV77,21.62229927,rho,NA,-0.606252686
ASV46,ASV23,6.004266118,rho,NA,-0.605296964
ASV41,ISO1,4.391943043,rho,NA,-0.605045639
ASV219,ASV101,36.81597265,rho,NA,-0.604757164
ASV77,ASV68,25.60809514,rho,NA,-0.604400245
ASV77,ASV29,8.049662947,rho,NA,-0.604304979
ASV81,ASV23,18.86799444,rho,NA,-0.603945689
ASV134,ASV64,25.21989651,rho,NA,-0.603828122
ASV263,ASV219,33.4040805,rho,NA,-0.602399342
ASV47,ASV15,37.65608297,rho,NA,-0.602302487
ASV20,ISO1,5.95942099,rho,NA,-0.602127785
ASV263,ASV43,22.49183053,rho,NA,-0.601159634
ASV92,ASV89,40.50442617,rho,NA,-0.600839488
ASV99,ASV52,20.7237405,rho,NA,-0.600809758
ASV68,ASV22,42.45836051,rho,NA,-0.600195646
ASV84,GAS1,6.845553447,rho,NA,-0.600121074
ASV99,ASV67,20.2744907,rho,NA,-0.600048634
ASV92,ASV64,27.16339149,rho,NA,-0.599491677
ASV6,POL3,7.487160175,rho,NA,-0.598913909
ASV73,COP1,5.625529996,rho,NA,-0.59884575
ASV44,ASV5,1.733678357,rho,NA,-0.598620871
ASV48,ASV39,16.70410381,rho,NA,-0.598489162
ASV65,ASV7,9.814546976,rho,NA,-0.598322047
ASV100,ASV15,24.90286843,rho,NA,-0.597974303
ASV39,ASV7,13.16479316,rho,NA,-0.596624722
ASV21,ISO1,4.493573586,rho,NA,-0.596057165
ASV209,ASV89,36.73931023,rho,NA,-0.596025102
ASV110,ASV7,29.28686454,rho,NA,-0.595615023
ASV78,GAS6,31.21014009,rho,NA,-0.595275852
ASV184,ASV4,18.61826561,rho,NA,-0.594730829
ASV105,ASV7,10.65093233,rho,NA,-0.593175261
ASV105,ASV36,9.113081722,rho,NA,-0.593102784
ASV51,ASV24,8.059720999,rho,NA,-0.592378775
ASV94,ASV15,31.11050899,rho,NA,-0.591406732
ASV93,ASV27,30.888019,rho,NA,-0.591257917
ASV65,ASV27,15.71219788,rho,NA,-0.590727241
ASV79,ASV47,36.69219213,rho,NA,-0.589836641
ASV22,GAS6,37.15457388,rho,NA,-0.58856849
ASV90,ASV78,37.25692907,rho,NA,-0.588241568
ASV105,COP1,5.607418979,rho,NA,-0.588001639
ASV30,NEC4,4.144442542,rho,NA,-0.587574917
ASV68,ASV32,38.52632444,rho,NA,-0.587351997
ASV76,ASV39,22.099742,rho,NA,-0.58728599
ASV26,ISO1,3.859187875,rho,NA,-0.586850648
ASV99,ASV48,14.71495999,rho,NA,-0.585553027
ASV110,ASV52,38.40175212,rho,NA,-0.585259187
ASV87,ASV18,7.390347022,rho,NA,-0.584722857
ASV90,ASV52,37.04450484,rho,NA,-0.584389706
ASV76,ASV68,35.55190383,rho,NA,-0.584346172
ASV184,ASV53,28.02702657,rho,NA,-0.583753224
ASV27,ASV23,18.21460816,rho,NA,-0.583285824
ASV71,GAS9,12.41381188,rho,NA,-0.582906252
ASV157,ASV47,35.99656567,rho,NA,-0.582526979
ASV58,POL15,7.058031069,rho,NA,-0.581513255
ASV184,ASV11,18.27835487,rho,NA,-0.580844612
ASV40,ASV5,2.222564179,rho,NA,-0.580314959
ASV74,ASV18,13.31203257,rho,NA,-0.579998775
ASV108,ASV7,9.677793869,rho,NA,-0.579314656
ASV74,ASV32,27.7639779,rho,NA,-0.578322092
ASV99,ASV36,9.64351647,rho,NA,-0.578034941
ASV219,ASV95,29.28691978,rho,NA,-0.577574223
ASV115,ASV77,23.09709767,rho,NA,-0.577532588
ASV15,ASV7,23.45271922,rho,NA,-0.577296829
ASV2,ISO1,4.027579942,rho,NA,-0.577230359
ASV74,ASV52,25.15930755,rho,NA,-0.577229734
ASV94,ASV68,33.78246739,rho,NA,-0.575525949
ASV99,ASV32,22.97439742,rho,NA,-0.575204643
ASV82,ASV48,31.39149888,rho,NA,-0.574847111
ASV110,ASV71,30.85913227,rho,NA,-0.574597192
ASV263,GAS6,27.12556492,rho,NA,-0.57435399
ASV75,ASV70,2.481642029,rho,NA,-0.574215564
ASV101,ASV64,24.4413361,rho,NA,-0.574055485
ASV20,POL6,4.633627066,rho,NA,-0.573891757
ASV90,ASV7,27.55568474,rho,NA,-0.573598988
ASV74,ASV67,24.66296046,rho,NA,-0.573197255
ASV263,ASV47,34.32122349,rho,NA,-0.572452855
ASV12,POL15,6.783913816,rho,NA,-0.571357385
ASV140,ASV27,22.65356919,rho,NA,-0.569627828
ASV101,ASV6,20.45767026,rho,NA,-0.569514176
ASV81,ASV65,15.90851768,rho,NA,-0.569421851
ASV41,NEC1,4.833315549,rho,NA,-0.569121768
ASV37,ASV18,5.974313352,rho,NA,-0.569091077
ASV222,ASV86,35.08010648,rho,NA,-0.567857764
ASV21,ASV5,2.517677385,rho,NA,-0.567710055
ASV73,COP2,8.3208475,rho,NA,-0.567406964
ASV82,ASV76,36.67289614,rho,NA,-0.566810203
ASV76,ASV15,32.18353291,rho,NA,-0.566374183
ASV61,ASV7,8.829492228,rho,NA,-0.566030773
ASV31,ASV5,2.753640989,rho,NA,-0.565816158
ASV9,ASV7,8.512424084,rho,NA,-0.565328672
ASV75,ISO1,4.653709036,rho,NA,-0.565175122
ASV157,ASV83,30.38695124,rho,NA,-0.565159713
ASV81,ASV74,22.03312191,rho,NA,-0.565084121
ASV157,ASV140,23.82778911,rho,NA,-0.56477792
ASV100,ASV65,10.72366216,rho,NA,-0.564214169
ASV93,ASV48,27.96122888,rho,NA,-0.563934121
ASV21,ASV7,8.90495819,rho,NA,-0.563534163
ASV85,ASV46,3.904570692,rho,NA,-0.563316277
ASV94,ASV39,20.18893411,rho,NA,-0.561943679
ASV36,POL16,7.98071806,rho,NA,-0.56183403
ASV93,ASV81,30.71185098,rho,NA,-0.561335141
ASV67,ASV39,21.60921576,rho,NA,-0.56130811
ASV99,ASV78,20.33236543,rho,NA,-0.561286285
ASV85,ASV27,16.01639118,rho,NA,-0.560801532
ASV85,ISO1,5.687148895,rho,NA,-0.56033455
ASV32,ASV15,34.91662806,rho,NA,-0.560320924
